 ,Label,Area,Mean,Min,Max,Angle,Length
216,ani_lig_R00921.dcm,0.107,3986.820,3021.287,4499.785,-3.145,2.175
217,ani_lig_R00921.dcm,0.098,4073.001,3168.214,4726.286,0.000,2.017
218,ani_lig_R00921.dcm,0.096,4352.995,3461.958,5333.797,3.814,1.973
219,ani_lig_R00921.dcm,0.093,4485.085,3788.204,5325.144,9.819,1.889
220,ani_lig_R00921.dcm,0.100,4518.946,3546.312,5186.164,13.715,2.063
221,ani_lig_R00921.dcm,0.100,4526.307,3540.000,5083.524,20.323,2.061
222,ani_lig_R00921.dcm,0.114,3184.111,2120.564,4462.341,26.565,2.321
223,ani_lig_R00921.dcm,0.089,3755.107,2000.952,5193.614,27.917,1.810
224,ani_lig_R00921.dcm,0.093,3621.619,1804.344,5145.988,31.891,1.897
225,ani_lig_R00921.dcm,0.084,3289.047,1650.250,4696.875,32.807,1.718
226,ani_lig_R00921.dcm,0.091,3557.804,1688.000,5048.994,33.896,1.840
227,ani_lig_R00921.dcm,0.087,3072.463,2004.938,3891.293,39.262,1.772
228,ani_lig_R00921.dcm,0.089,3551.596,2066.812,4751.871,45.535,1.806
229,ani_lig_R00921.dcm,0.096,3521.830,1794.630,4642.832,46.751,1.933
230,ani_lig_R00921.dcm,0.096,3421.064,2419.089,4741.360,52.368,1.974
231,ani_lig_R00921.dcm,0.093,3576.606,2278.294,4540.360,56.605,1.929
232,ani_lig_R00921.dcm,0.096,3723.479,2314.018,4870.245,56.117,1.969
233,ani_lig_R00921.dcm,0.093,3645.496,2712.174,4704.283,57.113,1.890
234,ani_lig_R00921.dcm,0.093,3603.987,2552.833,5295.919,60.388,1.908
235,ani_lig_R00921.dcm,0.096,3404.346,2387.604,4521.200,62.650,1.948
236,ani_lig_R00921.dcm,0.098,3452.843,1976.732,4650.692,62.049,1.986
237,ani_lig_R00921.dcm,0.091,3538.849,2331.131,4689.748,68.674,1.870
238,ani_lig_R00921.dcm,0.100,3503.199,2600.500,4858.797,75.240,2.061
239,ani_lig_R00921.dcm,0.103,3388.742,2450.348,4450.088,75.725,2.081
240,ani_lig_R00921.dcm,0.091,3420.891,2511.506,4555.755,81.870,1.856
241,ani_lig_R00921.dcm,0.093,3387.422,2281.204,4477.107,80.538,1.887
242,ani_lig_R00921.dcm,0.100,3379.172,2331.581,4437.524,82.669,2.057
243,ani_lig_R00921.dcm,0.098,3416.485,2529.750,4135.167,87.614,2.006
244,ani_lig_R00921.dcm,0.096,3362.743,2671.375,3971.037,93.814,1.973
245,ani_lig_R00921.dcm,0.096,3402.730,2589.564,4074.577,95.954,1.956
246,ani_lig_R00921.dcm,0.093,3456.910,2519.549,4325.185,99.287,1.922
247,ani_lig_R00921.dcm,0.091,3583.168,2573.250,4384.294,106.246,1.877
248,ani_lig_R00921.dcm,0.100,3691.690,2460.195,4864.948,102.819,2.044
249,ani_lig_R00921.dcm,0.093,3808.328,2317.562,4818.165,110.726,1.888
250,ani_lig_R00921.dcm,0.091,4203.487,2785.750,5148.537,115.735,1.841
251,ani_lig_R00921.dcm,0.084,4420.816,2972.750,5134.417,120.141,1.711
252,ani_lig_R00921.dcm,0.098,4804.282,3293.000,6209.000,118.254,1.991
253,ani_lig_R00921.dcm,0.084,4582.893,3284.146,5962.875,118.706,1.714
254,ani_lig_R00921.dcm,0.103,3853.849,2805.767,4721.312,126.870,2.088
255,ani_lig_R00921.dcm,0.093,4815.433,2992.976,6271.901,129.391,1.899
256,ani_lig_R00921.dcm,0.093,4906.242,2796.500,6214.375,132.955,1.891
257,ani_lig_R00921.dcm,0.100,5963.624,2862.750,8187.683,134.762,2.033
258,ani_lig_R00921.dcm,0.096,6161.761,3643.893,7867.915,135.979,1.975
259,ani_lig_R00921.dcm,0.107,6159.904,3774.750,8548.721,137.220,2.178
260,ani_lig_R00921.dcm,0.100,6341.370,3868.366,8642.729,138.783,2.046
261,ani_lig_R00921.dcm,0.096,5592.146,3722.625,7412.955,141.394,1.970
262,ani_lig_R00921.dcm,0.103,5386.520,3249.986,7018.303,149.975,2.122
263,ani_lig_R00921.dcm,0.105,4735.716,3002.207,6533.619,150.852,2.131
264,ani_lig_R00921.dcm,0.093,4169.691,2915.270,5173.000,159.864,1.906
265,ani_lig_R00921.dcm,0.098,4358.644,3120.199,5717.117,161.779,2.023
266,ani_lig_R00921.dcm,0.109,4113.067,3060.513,4788.759,163.801,2.224
267,ani_lig_R00921.dcm,0.096,3917.089,2883.875,4712.233,166.048,1.980
268,ani_lig_R00921.dcm,0.098,3976.652,2659.500,4747.778,169.484,2.027
269,ani_lig_R00921.dcm,0.100,3971.211,2892.797,4974.512,173.696,2.065
270,ani_lig_R00921.dcm,0.100,3990.436,3001.713,4771.855,176.970,2.031
271,ani_lig_R00921.dcm,0.096,4246.553,3007.375,5068.329,177.207,1.959
272,ani_lig_R00921.dcm,0.098,4133.076,2530.533,4980.630,179.322,2.017
273,ani_lig_R00921.dcm,0.100,4109.179,2915.139,5093.483,-178.325,2.041
274,ani_lig_R00921.dcm,0.103,4155.466,2689.636,5234.259,-174.776,2.097
275,ani_lig_R00921.dcm,0.098,4144.623,2693.036,5359.267,-169.422,2.015
276,ani_lig_R00921.dcm,0.103,3989.722,2570.636,5307.879,-166.667,2.121
277,ani_lig_R00921.dcm,0.103,3989.722,2570.636,5307.879,-166.667,2.121
278,ani_lig_R00921.dcm,0.103,4144.879,2654.250,5257.846,-162.081,2.094
279,ani_lig_R00921.dcm,0.103,4144.879,2654.250,5257.846,-162.081,2.094
280,ani_lig_R00921.dcm,0.103,4144.879,2654.250,5257.846,-162.081,2.094
281,ani_lig_R00921.dcm,0.103,4144.879,2654.250,5257.846,-162.081,2.094
282,ani_lig_R00921.dcm,0.103,4144.879,2654.250,5257.846,-162.081,2.094
283,ani_lig_R00921.dcm,0.103,4144.879,2654.250,5257.846,-162.081,2.094
284,ani_lig_R00921.dcm,0.100,4174.168,2786.500,5272.362,-162.192,2.068
285,ani_lig_R00921.dcm,0.098,4231.676,2840.750,5289.764,-162.525,2.027
286,ani_lig_R00921.dcm,0.105,3818.041,2949.520,4713.350,-161.665,2.162
287,ani_lig_R00921.dcm,0.103,3633.266,2739.003,4675.199,-161.154,2.106
288,ani_lig_R00921.dcm,0.084,3725.004,2565.083,4802.062,-155.956,1.699
289,ani_lig_R00921.dcm,0.082,3757.199,2653.498,4771.242,-155.624,1.677
290,ani_lig_R00921.dcm,0.084,4046.976,2819.500,5322.000,-150.255,1.732
291,ani_lig_R00921.dcm,0.091,3745.083,2850.383,4545.806,-146.310,1.850
292,ani_lig_R00921.dcm,0.103,3835.063,2837.422,5000.991,-146.219,2.082
293,ani_lig_R00921.dcm,0.093,3847.562,2835.031,4864.200,-144.713,1.900
294,ani_lig_R00921.dcm,0.100,3755.018,2317.366,5178.540,-138.814,2.029
295,ani_lig_R00921.dcm,0.089,3835.931,2863.799,5042.799,-138.460,1.817
296,ani_lig_R00921.dcm,0.093,3692.787,2726.625,5058.950,-136.014,1.907
297,ani_lig_R00921.dcm,0.096,3749.115,2736.316,5008.724,-135.000,1.941
298,ani_lig_R00921.dcm,0.089,3572.116,2704.271,4736.716,-134.469,1.823
299,ani_lig_R00921.dcm,0.091,3978.492,2805.375,5151.227,-130.601,1.870
300,ani_lig_R00921.dcm,0.093,3958.346,2767.523,4854.320,-128.938,1.918
301,ani_lig_R00921.dcm,0.089,4054.758,2908.947,5086.973,-128.136,1.836
302,ani_lig_R00921.dcm,0.089,3706.468,3173.654,4372.654,-117.917,1.810
303,ani_lig_R00921.dcm,0.089,3582.891,2671.335,4197.396,-116.232,1.836
304,ani_lig_R00921.dcm,0.077,3974.938,2878.659,5099.447,-115.224,1.596
305,ani_lig_R00921.dcm,0.084,4063.265,3036.375,5272.200,-106.164,1.714
306,ani_lig_R00921.dcm,0.082,3973.102,3122.026,4998.959,-103.835,1.647
307,ani_lig_R00921.dcm,0.084,4118.858,2864.195,5151.024,-102.011,1.720
308,ani_lig_R00921.dcm,0.075,4180.190,2935.467,5191.871,-95.891,1.511
309,ani_lig_R00921.dcm,0.080,4346.945,3325.000,5229.250,-93.366,1.626
310,ani_lig_R00921.dcm,0.080,4223.384,3395.090,4815.812,-89.164,1.635
311,ani_lig_R00921.dcm,0.075,4206.932,3277.314,5230.338,-89.552,1.527
312,ani_lig_R00921.dcm,0.080,3957.848,2923.750,5124.324,-84.958,1.629
313,ani_lig_R00921.dcm,0.080,4135.122,3097.404,4980.158,-83.339,1.646
314,ani_lig_R00921.dcm,0.073,4248.227,3221.745,5055.252,-77.217,1.456
315,ani_lig_R00921.dcm,0.084,4143.998,3300.449,5275.248,-70.292,1.698
316,ani_lig_R00921.dcm,0.080,4102.515,3130.500,5611.888,-69.053,1.635
317,ani_lig_R00921.dcm,0.073,4349.331,2729.875,5662.026,-72.728,1.487
